epoch,step,test_accuracy,test_f1score,test_iou,test_loss,test_precision,test_recall,train_accuracy,train_f1score,train_iou,train_loss,train_precision,train_recall,val_accuracy,val_f1score,val_iou,val_loss,val_precision,val_recall
0,160,,,,,,,,,,,,,0.8907081484794617,0.6174783706665039,0.4970645308494568,0.6572052836418152,0.6174783706665039,0.6174783706665039
0,160,,,,,,,0.8232041597366333,0.38121381402015686,0.26998233795166016,0.6948199272155762,0.38121381402015686,0.38121381402015686,,,,,,
1,321,,,,,,,,,,,,,0.9122090339660645,0.6927316784858704,0.5751837491989136,0.5536905527114868,0.6927316784858704,0.6927316784858704
1,321,,,,,,,0.8864429593086243,0.6025492548942566,0.4714188575744629,0.587620198726654,0.6025492548942566,0.6025492548942566,,,,,,
2,482,,,,,,,,,,,,,0.9282070994377136,0.7487249374389648,0.6347390413284302,0.4980381429195404,0.7487249374389648,0.7487249374389648
2,482,,,,,,,0.9000798463821411,0.6502788066864014,0.5196048617362976,0.5436421036720276,0.6502788066864014,0.6502788066864014,,,,,,
3,643,,,,,,,,,,,,,0.9388181567192078,0.7858632802963257,0.6761033535003662,0.4654447138309479,0.7858632802963257,0.7858632802963257
3,643,,,,,,,0.906639039516449,0.6732366681098938,0.5457552671432495,0.5143066644668579,0.6732366681098938,0.6732366681098938,,,,,,
4,804,,,,,,,,,,,,,0.9384672045707703,0.7846355438232422,0.6763219833374023,0.4497750699520111,0.7846355438232422,0.7846355438232422
4,804,,,,,,,0.9122905731201172,0.6930184960365295,0.5678258538246155,0.498239666223526,0.6930184960365295,0.6930184960365295,,,,,,
5,965,,,,,,,,,,,,,0.9409052133560181,0.7931684255599976,0.6847625970840454,0.44074445962905884,0.7931684255599976,0.7931684255599976
5,965,,,,,,,0.9101678729057312,0.6855867505073547,0.559404730796814,0.4824059009552002,0.6855867505073547,0.6855867505073547,,,,,,
6,1126,,,,,,,,,,,,,0.9421285390853882,0.797450065612793,0.6884118914604187,0.42121753096580505,0.797450065612793,0.797450065612793
6,1126,,,,,,,0.9142670631408691,0.6999359726905823,0.5716474056243896,0.4543468952178955,0.6999359726905823,0.6999359726905823,,,,,,
7,1287,,,,,,,,,,,,,0.9425472021102905,0.7989152669906616,0.6910675764083862,0.41432562470436096,0.7989152669906616,0.7989152669906616
7,1287,,,,,,,0.9149083495140076,0.7021792531013489,0.5742277503013611,0.4385030269622803,0.7021792531013489,0.7021792531013489,,,,,,
8,1448,,,,,,,,,,,,,0.9412508010864258,0.7943776845932007,0.6880643963813782,0.40879708528518677,0.7943776845932007,0.7943776845932007
8,1448,,,,,,,0.9182472229003906,0.7138656377792358,0.5867275595664978,0.42578235268592834,0.7138656377792358,0.7138656377792358,,,,,,
9,1609,,,,,,,,,,,,,0.9416958689689636,0.7959356307983398,0.6904799342155457,0.41347837448120117,0.7959356307983398,0.7959356307983398
9,1609,,,,,,,0.922586977481842,0.7290546298027039,0.6042541265487671,0.4166156053543091,0.7290546298027039,0.7290546298027039,,,,,,
10,1770,,,,,,,,,,,,,0.9442445635795593,0.8048559427261353,0.7001506686210632,0.4066764712333679,0.8048559427261353,0.8048559427261353
10,1770,,,,,,,0.9233481287956238,0.7317181825637817,0.6088175773620605,0.40277498960494995,0.7317181825637817,0.7317181825637817,,,,,,
11,1931,,,,,,,,,,,,,0.938935399055481,0.7862741351127625,0.6835310459136963,0.42266106605529785,0.7862741351127625,0.7862741351127625
11,1931,,,,,,,0.9284216165542603,0.74947589635849,0.6279864311218262,0.3996347188949585,0.74947589635849,0.74947589635849,,,,,,
12,2092,,,,,,,,,,,,,0.9421733021736145,0.7976064682006836,0.6931846737861633,0.41667595505714417,0.7976064682006836,0.7976064682006836
12,2092,,,,,,,0.9337682127952576,0.7681896090507507,0.6521835327148438,0.3805254101753235,0.7681896090507507,0.7681896090507507,,,,,,
13,2253,,,,,,,,,,,,,0.9450138807296753,0.8075485229492188,0.7017247080802917,0.39663946628570557,0.8075485229492188,0.8075485229492188
13,2253,,,,,,,0.9344958662986755,0.7707348465919495,0.6572736501693726,0.3748167157173157,0.7707348465919495,0.7707348465919495,,,,,,
14,2414,,,,,,,,,,,,,0.943504810333252,0.8022670745849609,0.7010730504989624,0.40297332406044006,0.8022670745849609,0.8022670745849609
